employee_id,name,hire_date,exit_date,status,department,role_family,role_level,job_title,salary,compa_ratio,gender,age_band,cultural_background,contract_type,hipo_flag,promotion_eligible,manager_id,hire_source,legacy_entity_code,data_source_system,days_to_fill,tenure_months,acting_appointment
E00001,Madison Lang,1988-01-11,,active,Wealth Management,Operations-Processing,2,"Manager, Wealth Management",115200.0,0.79,Female,60+,Anglo-Australian,Full-time,False,False,E04330,referral,NovaCorp-Origin,WorkdayHR,22.0,462,False
E00003,Amy Garza,1988-01-13,,active,Wealth Management,Corporate-Support,3,"Senior Manager, Wealth Management",170200.0,0.85,Female,60+,South Asian,Full-time,False,False,E13109,direct,NovaCorp-Origin,WorkdayHR,62.0,462,False
E00004,Meghan Robertson,1988-01-14,,active,Insurance,Management,2,"Manager, Insurance",125500.0,0.87,Female,60+,East Asian,Full-time,False,False,E14294,referral,NovaCorp-Origin,WorkdayHR,86.0,462,False
E00005,Gabrielle Crawford,1988-01-14,2024-12-24,departed,Wealth Management,Technology,2,"Manager, Wealth Management",132400.0,0.91,Female,60+,East Asian,Full-time,False,True,E12337,direct,NovaCorp-Origin,WorkdayHR,63.0,449,False
E00006,Karen Hernandez,1988-01-15,2025-04-17,departed,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",120600.0,0.83,Female,60+,Anglo-Australian,Full-time,False,False,E00218,agency,NovaCorp-Origin,WorkdayHR,20.0,453,False
E00007,Lisa Hendricks,1988-01-15,,active,Wealth Management,Management,2,"Manager, Wealth Management",133400.0,0.92,Prefer not to say,60+,South Asian,Full-time,False,False,E09066,direct,NovaCorp-Origin,WorkdayHR,37.0,462,False
E00008,Mr. Aaron Higgins,1988-01-18,2024-02-19,departed,Technology,Corporate-Support,2,"Manager, Technology",117800.0,0.81,Male,55-59,Anglo-Australian,Fixed-term,False,False,E00249,acquisition,NovaCorp-Origin,WorkdayHR,79.0,439,False
E00009,Darlene Morris,1988-01-20,,active,Retail Banking,Technology,2,"Manager, Retail Banking",130700.0,0.9,Female,60+,Anglo-Australian,Full-time,False,True,E07814,agency,NovaCorp-Origin,WorkdayHR,38.0,462,False
E00010,Mr. David Cruz,1988-01-23,,active,Retail Banking,Management,2,"Manager, Retail Banking",126400.0,0.87,Male,60+,Anglo-Australian,Full-time,False,False,E06643,agency,NovaCorp-Origin,WorkdayHR,49.0,461,False
E00011,Breanna Smith,1988-01-23,,active,Retail Banking,Technology,2,"Manager, Retail Banking",125100.0,0.86,Female,60+,Anglo-Australian,Full-time,False,False,E06856,direct,NovaCorp-Origin,WorkdayHR,14.0,461,False
E00012,Harold Mckinney,1988-01-24,,active,Technology,Operations-Processing,2,"Manager, Technology",126300.0,0.87,Male,55-59,South Asian,Full-time,False,False,E00712,graduate,NovaCorp-Origin,WorkdayHR,17.0,461,False
E00013,Glenda Calderon,1988-01-25,,active,Retail Banking,Technology,2,"Manager, Retail Banking",124300.0,0.86,Female,60+,Middle Eastern,Full-time,True,False,E00432,agency,NovaCorp-Origin,WorkdayHR,87.0,461,False
E00014,Karen Williams,1988-01-26,,active,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",122200.0,0.84,Female,55-59,South Asian,Full-time,False,False,E01653,direct,NovaCorp-Origin,WorkdayHR,46.0,461,False
E00015,Rebecca Kelly,1988-01-27,,active,Wealth Management,Management,2,"Manager, Wealth Management",121100.0,0.84,Female,60+,Maori/Aboriginal & Torres Strait Islander,Full-time,False,False,E07205,agency,NovaCorp-Origin,WorkdayHR,55.0,461,False
E00016,Mark Cox,1988-01-27,,active,Retail Banking,Management,2,"Manager, Retail Banking",127900.0,0.88,Male,60+,Anglo-Australian,Full-time,False,True,E11238,direct,NovaCorp-Origin,WorkdayHR,21.0,461,False
E00017,Amy Newman,1988-01-29,,active,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",139100.0,0.96,Female,60+,Anglo-Australian,Full-time,True,False,E11711,referral,NovaCorp-Origin,WorkdayHR,34.0,461,False
E00018,Timothy Allen,1988-01-30,,active,Risk & Compliance,Client-Advisory,3,"Senior Manager, Risk & Compliance",174800.0,0.92,Male,60+,Prefer not to say,Full-time,False,False,E10247,agency,NovaCorp-Origin,WorkdayHR,69.0,461,False
E00019,Erin Carter,1988-01-31,,active,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",115500.0,0.8,Female,60+,European (non-Anglo),Casual,False,False,E10272,agency,NovaCorp-Origin,WorkdayHR,36.0,461,False
E00020,John Taylor,1988-02-01,,active,Corporate Operations,Operations-Processing,2,"Manager, Corporate Operations",129800.0,0.9,Male,60+,Anglo-Australian,Full-time,False,True,E09364,acquisition,NovaCorp-Origin,WorkdayHR,15.0,461,False
E00021,Peter Myers MD,1988-02-04,2024-05-24,departed,Insurance,Risk-Compliance,2,"Manager, Insurance",125500.0,0.87,Male,60+,East Asian,Part-time,False,False,E08861,referral,NovaCorp-Origin,WorkdayHR,89.0,441,False
E00022,Brett Lawson,1988-02-05,,active,Insurance,Risk-Compliance,2,"Manager, Insurance",129400.0,0.89,Male,55-59,Anglo-Australian,Full-time,False,True,E00833,agency,NovaCorp-Origin,WorkdayHR,75.0,461,False
E00023,Jordan Anderson,1988-02-05,2025-07-04,departed,Technology,Corporate-Support,3,"Senior Manager, Technology",175400.0,0.88,Male,60+,Anglo-Australian,Full-time,False,False,E09824,direct,NovaCorp-Origin,WorkdayHR,85.0,455,False
E00024,Courtney Williams,1988-02-06,,active,Wealth Management,Risk-Compliance,4,"Director, Wealth Management",287300.0,1.05,Female,60+,East Asian,Full-time,False,True,E07787,direct,NovaCorp-Origin,WorkdayHR,36.0,461,False
E00025,Michael Martin,1988-02-06,,active,Technology,Management,2,"Manager, Technology",123800.0,0.85,Non-binary,55-59,East Asian,Full-time,False,False,E00272,direct,NovaCorp-Origin,WorkdayHR,19.0,461,False
E00026,Kevin Monroe,1988-02-08,,active,Technology,Technology,2,"Manager, Technology",132700.0,0.92,Male,60+,South Asian,Full-time,False,False,E06422,direct,NovaCorp-Origin,WorkdayHR,63.0,461,False
E00027,Mr. Stephen Duran MD,1988-02-10,2025-04-30,departed,Risk & Compliance,Corporate-Support,3,"Senior Manager, Risk & Compliance",172700.0,0.86,Male,60+,East Asian,Casual,False,False,E09174,graduate,NovaCorp-Origin,WorkdayHR,39.0,453,False
E00029,Sarah Lee,1988-02-10,,active,Insurance,Operations-Processing,3,"Senior Manager, Insurance",177300.0,0.89,Female,60+,Anglo-Australian,Full-time,False,False,E01698,direct,NovaCorp-Origin,WorkdayHR,28.0,461,False
E00030,Lori Maddox,1988-02-11,,active,Retail Banking,Client-Advisory,3,"Senior Manager, Retail Banking",182700.0,0.91,Female,60+,Anglo-Australian,Full-time,False,False,E02887,agency,NovaCorp-Origin,WorkdayHR,77.0,461,False
E00031,Michael Smith,1988-02-12,,active,Technology,Management,2,"Manager, Technology",119100.0,0.82,Male,60+,Pacific Islander,Full-time,False,False,E07493,acquisition,NovaCorp-Origin,WorkdayHR,60.0,461,False
E00033,Lauren Johnson,1988-02-13,,active,Wealth Management,Client-Advisory,2,"Manager, Wealth Management",124100.0,0.86,Female,60+,Prefer not to say,Full-time,False,True,E00337,graduate,NovaCorp-Origin,WorkdayHR,28.0,461,False
E00034,Leah Williams,1988-02-14,,active,Technology,Technology,2,"Manager, Technology",131600.0,0.91,Female,55-59,East Asian,Casual,False,False,E03019,graduate,NovaCorp-Origin,WorkdayHR,26.0,461,False
E00035,Laura Branch,1988-02-15,,active,Wealth Management,Management,2,"Manager, Wealth Management",118000.0,0.81,Female,55-59,Anglo-Australian,Casual,False,False,E00919,referral,NovaCorp-Origin,WorkdayHR,74.0,461,False
E00036,Hayley Mitchell,1988-02-16,2025-09-29,departed,Corporate Operations,Technology,2,"Manager, Corporate Operations",130000.0,0.9,Female,60+,Anglo-Australian,Full-time,False,True,E02132,agency,NovaCorp-Origin,WorkdayHR,54.0,458,False
E00037,Danielle Mcdonald,1988-02-16,,active,Retail Banking,Technology,3,"Senior Manager, Retail Banking",179000.0,0.9,Female,60+,Anglo-Australian,Full-time,False,False,E05812,agency,NovaCorp-Origin,WorkdayHR,83.0,461,False
E00038,Cheryl Vargas,1988-02-19,,active,Technology,Client-Advisory,3,"Senior Manager, Technology",233700.0,1.02,Female,60+,Southeast Asian,Part-time,False,False,E13776,referral,NovaCorp-Origin,WorkdayHR,14.0,461,True
E00039,Selena White,1988-02-20,,active,Risk & Compliance,Risk-Compliance,3,"Senior Manager, Risk & Compliance",218800.0,0.87,Female,60+,Anglo-Australian,Full-time,False,False,E09990,agency,NovaCorp-Origin,WorkdayHR,74.0,460,False
E00040,Mr. Matthew Andrews,1988-02-23,,active,Risk & Compliance,Management,2,"Manager, Risk & Compliance",116700.0,0.8,Male,60+,South Asian,Full-time,False,True,E00663,agency,NovaCorp-Origin,WorkdayHR,70.0,460,False
E00041,William Morrison,1988-02-24,,active,Risk & Compliance,Client-Advisory,2,"Manager, Risk & Compliance",115200.0,0.79,Male,60+,Anglo-Australian,Full-time,False,False,E01129,agency,NovaCorp-Origin,WorkdayHR,31.0,460,False
